time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
147,69.75,48.66,19.92,16.58,23.49,3.84,7.03,3.65,8.56,16.41,-0.84
148,68.07,48.33,18.95,16.94,23.09,4.01,6.11,3.98,8.54,16.58,-1.17
149,67.88,48.98,19.43,16.11,23.16,3.84,5.98,4.00,7.93,15.18,-1.48
150,66.61,47.32,19.10,15.47,22.04,4.72,6.89,4.39,8.72,16.54,-0.77
151,66.69,47.66,19.52,16.41,22.28,4.42,5.17,4.13,8.33,15.15,-0.69
152,65.24,45.73,17.86,16.09,21.38,4.37,5.99,3.21,8.41,14.86,-0.82
153,63.84,45.41,18.10,16.20,20.55,3.87,6.09,3.37,7.55,14.20,-0.90
154,63.28,43.45,18.31,14.70,21.46,2.88,5.55,3.90,8.05,14.56,-1.08
155,61.79,43.27,17.38,14.54,20.48,4.26,5.53,3.84,7.67,14.52,-0.20
156,60.84,41.16,17.31,14.49,19.96,3.51,5.53,3.75,8.39,13.50,-0.51
157,58.34,41.59,16.90,14.30,19.92,3.00,5.11,2.98,7.62,13.11,-0.92
158,55.90,39.88,16.05,14.00,19.37,3.29,4.69,3.37,7.01,13.83,-0.77
159,54.60,38.04,15.50,12.14,19.50,3.80,4.76,2.06,7.12,12.80,-1.05
160,52.72,37.45,16.05,12.55,17.49,4.11,5.13,3.17,7.27,11.54,-1.18
161,52.01,35.64,15.34,12.58,18.20,3.18,5.70,3.14,6.21,12.22,-1.75
162,50.41,35.52,13.61,12.32,16.96,3.13,5.22,3.38,5.89,11.91,-0.76
163,48.82,33.67,13.91,11.41,16.30,3.48,4.50,3.11,6.23,11.32,0.61
164,47.87,32.55,12.88,11.75,15.71,3.36,4.69,2.54,5.36,11.06,0.26
165,45.61,31.77,12.50,10.26,14.88,2.34,4.51,2.16,5.86,11.37,-0.04
166,42.84,30.33,12.30,9.62,14.48,3.10,3.54,2.49,6.01,9.39,-0.99
167,40.76,29.37,10.70,10.06,13.86,2.23,3.92,2.81,5.57,9.42,0.07
168,40.34,28.94,11.64,10.04,13.34,2.47,3.12,2.41,5.47,9.65,-0.62
169,39.46,26.71,11.43,9.06,13.45,1.93,3.21,1.37,5.64,8.88,-0.99
170,38.22,26.78,10.45,8.89,12.16,2.90,1.57,2.27,5.19,8.86,-0.89
171,36.18,24.85,10.91,9.31,13.16,2.03,2.17,2.47,4.18,8.93,0.67
172,34.62,24.06,9.61,8.38,11.61,2.63,2.33,1.85,4.41,7.88,-0.26
173,33.74,23.65,9.68,8.18,10.85,1.91,2.93,2.06,4.11,6.59,-0.26
174,32.49,22.78,10.33,8.05,11.19,2.21,3.69,1.77,4.71,7.87,-1.38
175,32.23,22.25,9.08,7.35,10.65,2.79,3.40,0.90,3.13,7.66,1.22
176,31.56,21.76,9.58,7.21,11.20,2.52,2.21,2.43,3.97,7.30,-0.58
177,30.53,22.13,9.26,6.29,10.01,1.69,3.33,1.56,3.79,7.27,-0.55
178,30.39,20.60,9.18,6.51,10.23,1.72,2.29,1.55,2.86,7.45,-0.38
179,29.83,20.54,8.68,6.80,10.19,1.94,2.24,1.91,3.92,6.85,-0.94
180,30.29,20.72,8.73,7.39,10.19,1.81,3.13,2.17,3.90,7.90,0.00
181,30.62,21.05,8.10,7.49,9.75,1.69,2.51,1.64,3.69,7.15,-0.00
182,29.91,22.33,8.16,7.60,10.31,2.09,2.24,1.64,3.38,6.56,-0.82
183,30.18,21.52,9.10,7.25,10.55,2.40,2.29,1.76,3.55,6.71,-0.98
184,30.66,21.95,8.70,7.72,10.60,1.66,2.94,2.61,3.43,6.61,0.06
185,30.56,21.61,9.05,7.81,10.29,1.82,2.56,1.58,4.77,7.40,-0.81
186,32.76,23.38,9.87,6.60,10.90,2.46,2.86,1.56,4.48,7.09,-0.12
187,33.63,24.28,9.65,7.69,10.93,2.55,2.62,1.72,2.95,7.87,-0.08
188,34.73,24.23,11.01,7.94,11.34,1.71,3.45,2.76,3.76,7.80,-0.32
189,36.07,24.79,9.89,8.73,11.78,2.46,3.56,2.13,3.97,8.10,-0.62
190,37.37,26.42,10.29,8.71,11.86,2.46,3.46,2.31,4.82,9.37,-0.69
