time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
166,43.66,30.40,12.47,10.19,14.32,2.45,3.16,2.33,5.80,9.04,-0.17
167,41.58,28.53,11.28,9.87,14.52,2.55,4.45,2.54,5.67,9.58,0.26
168,40.45,27.72,11.42,10.32,12.57,2.85,3.71,1.10,5.17,8.28,-0.99
169,37.95,27.46,10.85,9.34,12.82,2.58,3.70,1.69,6.58,9.89,-0.08
170,36.75,25.71,10.93,9.13,12.88,2.18,4.35,2.12,5.19,8.09,0.21
171,35.35,24.66,10.70,8.94,12.41,2.08,3.49,2.53,5.58,8.31,-0.22
172,34.75,24.47,9.11,7.90,11.85,1.44,3.12,2.15,3.89,8.44,-0.57
173,34.26,23.01,10.74,8.22,10.67,1.86,3.15,2.07,4.02,8.61,-0.36
174,33.19,22.64,9.62,7.97,9.64,2.68,4.15,0.97,4.40,8.39,-0.23
175,30.67,21.92,8.91,7.81,10.54,2.74,2.59,2.39,3.77,7.61,-0.64
176,30.84,21.90,9.19,7.75,10.46,1.55,2.11,0.95,3.88,8.04,0.36
177,31.14,21.36,8.71,8.40,9.50,1.64,2.27,1.63,3.78,7.70,-0.63
178,30.54,20.52,8.61,7.20,10.07,1.73,3.26,2.00,4.06,7.05,-0.59
179,29.78,20.35,8.20,7.21,10.60,2.02,2.71,1.49,3.07,6.81,-0.35
180,29.16,20.78,8.20,6.33,10.81,1.45,1.90,2.11,3.72,7.15,-0.81
181,30.24,21.97,8.00,7.05,10.95,1.92,3.01,1.74,3.19,7.46,-0.23
182,30.13,21.54,8.88,6.72,10.55,2.04,3.39,1.83,3.72,6.61,-0.46
183,30.21,21.33,8.79,7.78,10.20,1.92,2.29,1.70,4.79,6.20,0.32
184,31.40,21.18,9.09,8.01,10.24,1.37,3.15,1.26,4.46,7.28,-0.16
185,31.92,22.12,8.30,7.81,11.07,2.18,2.78,2.26,3.55,6.64,-0.51
186,31.99,22.66,9.35,7.90,11.87,1.86,3.17,2.06,3.92,7.54,-0.44
