,N9,N3,N5,N7
499,0.25,0.04,0.04,0.04
500,0.25,0.04,0.04,0.04
501,0.25,0.04,0.04,0.04
502,0.25,0.04,0.04,0.04
503,0.25,0.04,0.04,0.04
504,0.25,0.04,0.04,0.04
505,0.25,0.04,0.04,0.04
506,0.25,0.04,0.04,0.04
507,0.25,0.04,0.04,0.04
508,0.25,0.04,0.04,0.04
509,0.25,0.04,0.04,0.04
510,0.25,0.04,0.04,0.04
511,0.25,0.04,0.04,0.04
512,0.25,0.04,0.04,0.04
513,0.25,0.04,0.04,0.04
514,0.25,0.04,0.04,0.04
515,0.25,0.04,0.04,0.04
516,0.25,0.04,0.04,0.04
517,0.25,0.04,0.04,0.04
518,0.25,0.04,0.04,0.04
519,0.25,0.04,0.04,0.04
520,0.25,0.04,0.04,0.04
521,0.25,0.04,0.04,0.04
522,0.25,0.04,0.04,0.04
523,0.25,0.04,0.04,0.04
524,0.25,0.04,0.04,0.04
525,0.25,0.04,0.04,0.04
526,0.25,0.04,0.04,0.04
527,0.25,0.04,0.04,0.04
528,0.25,0.04,0.04,0.04
529,0.25,0.04,0.04,0.04
530,0.25,0.04,0.04,0.04
531,0.25,0.04,0.04,0.04
532,0.25,0.04,0.04,0.04
533,0.25,0.04,0.04,0.04
534,0.25,0.04,0.04,0.04
535,0.25,0.04,0.04,0.04
536,0.25,0.04,0.04,0.04
537,0.25,0.04,0.04,0.04
538,0.25,0.04,0.04,0.04
539,0.25,0.04,0.04,0.04
540,0.25,0.04,0.04,0.04
541,0.25,0.04,0.04,0.04
542,0.25,0.04,0.04,0.04
543,0.25,0.04,0.04,0.04
544,0.25,0.04,0.04,0.04
545,0.25,0.04,0.04,0.04
546,0.25,0.04,0.04,0.04
547,0.25,0.04,0.04,0.04
548,0.25,0.04,0.04,0.04
549,0.25,0.04,0.04,0.04
550,0.25,0.04,0.04,0.04
551,0.25,0.04,0.04,0.04
552,0.25,0.04,0.04,0.04
553,0.25,0.04,0.04,0.04
554,0.25,0.04,0.04,0.04
555,0.25,0.04,0.04,0.04
556,0.25,0.04,0.04,0.04
557,0.25,0.04,0.04,0.04
558,0.25,0.04,0.04,0.04
559,0.25,0.04,0.04,0.04
560,0.25,0.04,0.04,0.04
561,0.25,0.04,0.04,0.04
562,0.25,0.04,0.04,0.04
563,0.25,0.04,0.04,0.04
564,0.25,0.04,0.04,0.04
565,0.25,0.04,0.04,0.04
566,0.25,0.04,0.04,0.04
567,0.25,0.04,0.04,0.04
568,0.25,0.04,0.04,0.04
569,0.25,0.04,0.04,0.04
570,0.25,0.04,0.04,0.04
571,0.25,0.04,0.04,0.04
